datetime,rssi
2025-10-04 20:01:26.593320,-58
2025-10-04 20:01:26.635143,-58
2025-10-04 20:01:26.718854,-90
2025-10-04 20:01:26.729893,-93
2025-10-04 20:01:26.897932,-64
2025-10-04 20:01:26.919313,-65
2025-10-04 20:01:26.941124,-64
2025-10-04 20:01:26.972939,-62
2025-10-04 20:01:26.993964,-61
2025-10-04 20:01:27.015059,-61
2025-10-04 20:01:27.087629,-61
2025-10-04 20:01:27.108955,-61
2025-10-04 20:01:27.359927,-70
2025-10-04 20:01:27.412088,-64
2025-10-04 20:01:27.443455,-63
2025-10-04 20:01:27.464078,-62
2025-10-04 20:01:27.474660,-84
2025-10-04 20:01:27.485299,-84
2025-10-04 20:01:27.516616,-61
2025-10-04 20:01:27.537651,-59
2025-10-04 20:01:27.558789,-62
2025-10-04 20:01:27.569540,-85
2025-10-04 20:01:27.580341,-84
2025-10-04 20:01:27.591105,-86
2025-10-04 20:01:29.271558,-90
2025-10-04 20:01:29.313600,-91
2025-10-04 20:01:29.977348,-92
2025-10-04 20:01:29.987785,-91
2025-10-04 20:01:30.397702,-39
2025-10-04 20:01:30.429645,-46
2025-10-04 20:01:30.451254,-45
2025-10-04 20:01:31.502886,-94
2025-10-04 20:01:31.513595,-95
2025-10-04 20:01:32.243340,-70
2025-10-04 20:01:32.264715,-70
2025-10-04 20:01:32.576496,-87
2025-10-04 20:01:32.587511,-85
2025-10-04 20:01:32.742669,-95
2025-10-04 20:01:32.981884,-93
2025-10-04 20:01:33.822533,-61
2025-10-04 20:01:33.967742,-90
2025-10-04 20:01:33.978516,-88
2025-10-04 20:01:34.164520,-85
2025-10-04 20:01:34.310232,-66
2025-10-04 20:01:34.331788,-66
2025-10-04 20:01:34.342823,-62
2025-10-04 20:01:34.353439,-62
2025-10-04 20:01:34.571629,-62
2025-10-04 20:01:34.592901,-62
2025-10-04 20:01:35.515600,-89
2025-10-04 20:01:35.577666,-71
2025-10-04 20:01:35.702519,-84
2025-10-04 20:01:35.713405,-86
2025-10-04 20:01:35.807096,-71
2025-10-04 20:01:35.858911,-68
2025-10-04 20:01:36.769508,-92
2025-10-04 20:01:37.115256,-88
2025-10-04 20:01:37.126005,-86
2025-10-04 20:01:37.519370,-93
2025-10-04 20:01:37.530225,-93
2025-10-04 20:01:37.687717,-92
2025-10-04 20:01:37.698601,-91
2025-10-04 20:01:38.550451,-94
2025-10-04 20:01:38.561488,-95
2025-10-04 20:01:41.008409,-92
2025-10-04 20:01:41.018973,-90
2025-10-04 20:01:41.194012,-90
2025-10-04 20:01:41.204698,-92
2025-10-04 20:01:41.833866,-94
2025-10-04 20:01:41.844846,-95
2025-10-04 20:01:42.247393,-91
2025-10-04 20:01:42.258044,-93
2025-10-04 20:01:42.268708,-94
2025-10-04 20:01:42.279416,-92
2025-10-04 20:01:42.330899,-89
2025-10-04 20:01:42.341536,-87
2025-10-04 20:01:42.539340,-81
2025-10-04 20:01:43.037745,-93
2025-10-04 20:01:43.908891,-50
2025-10-04 20:01:43.940611,-57
2025-10-04 20:01:43.961658,-53
2025-10-04 20:01:44.004434,-85
2025-10-04 20:01:44.015147,-82
2025-10-04 20:01:44.109124,-63
2025-10-04 20:01:44.120090,-57
2025-10-04 20:01:44.131144,-63
2025-10-04 20:01:44.152340,-56
2025-10-04 20:01:44.173223,-55
2025-10-04 20:01:44.493619,-92
2025-10-04 20:01:44.514825,-94
2025-10-04 20:01:44.525740,-95
2025-10-04 20:01:45.520296,-84
2025-10-04 20:01:45.531150,-85
2025-10-04 20:01:47.926229,-93
2025-10-04 20:01:49.095014,-96
2025-10-04 20:01:49.105812,-93
2025-10-04 20:01:49.375704,-44
2025-10-04 20:01:49.396583,-45
2025-10-04 20:01:49.438608,-45
2025-10-04 20:01:49.615394,-46
2025-10-04 20:01:50.556790,-86
2025-10-04 20:01:50.567537,-84
2025-10-04 20:01:50.630655,-89
2025-10-04 20:01:50.767599,-93
2025-10-04 20:01:50.876720,-92
2025-10-04 20:01:50.887711,-95
2025-10-04 20:01:51.004386,-87
2025-10-04 20:01:51.014869,-89
2025-10-04 20:01:51.025833,-84
2025-10-04 20:01:51.220975,-84
2025-10-04 20:01:51.862126,-94
2025-10-04 20:01:51.903583,-56
2025-10-04 20:01:51.924506,-56
2025-10-04 20:01:51.945342,-48
2025-10-04 20:01:52.110872,-48
2025-10-04 20:01:52.121712,-45
2025-10-04 20:01:52.142557,-47
2025-10-04 20:01:52.400503,-55
2025-10-04 20:01:52.421615,-58
2025-10-04 20:01:52.929444,-86
2025-10-04 20:01:52.940382,-86
2025-10-04 20:01:53.002720,-92
2025-10-04 20:01:55.484992,-91
2025-10-04 20:01:55.526682,-91
2025-10-04 20:01:55.537445,-92
2025-10-04 20:01:55.703807,-93
2025-10-04 20:01:55.714715,-91
2025-10-04 20:01:55.766923,-91
2025-10-04 20:01:56.149824,-94
2025-10-04 20:01:56.273901,-74
2025-10-04 20:01:56.295018,-81
2025-10-04 20:01:56.491814,-60
2025-10-04 20:01:56.502539,-59
2025-10-04 20:01:56.513349,-91
2025-10-04 20:01:56.524071,-91
2025-10-04 20:01:56.751338,-95
2025-10-04 20:01:57.043820,-88
2025-10-04 20:01:57.615778,-95
2025-10-04 20:01:57.792311,-95
2025-10-04 20:01:57.803297,-94
2025-10-04 20:01:57.814283,-94
2025-10-04 20:01:57.918695,-93
2025-10-04 20:01:57.929593,-95
2025-10-04 20:01:59.615481,-68
2025-10-04 20:01:59.678336,-68
2025-10-04 20:01:59.885810,-92
2025-10-04 20:02:01.517791,-93
2025-10-04 20:02:01.528641,-91
2025-10-04 20:02:01.677927,-87
2025-10-04 20:02:01.709442,-87
