timestamp,rssi,location_label
2025-10-05 13:38:45.886631,-73,Front
2025-10-05 13:38:45.888631,-73,Front
2025-10-05 13:38:45.889631,-74,Front
2025-10-05 13:38:45.896631,-75,Front
2025-10-05 13:38:45.912631,-72,Front
2025-10-05 13:38:45.929631,-70,Front
2025-10-05 13:38:45.937631,-70,Front
2025-10-05 13:38:45.949631,-69,Front
2025-10-05 13:38:45.952631,-71,Front
2025-10-05 13:38:45.959631,-79,Front
2025-10-05 13:38:46.050631,-75,Front
2025-10-05 13:38:46.051631,-76,Front
2025-10-05 13:38:46.068631,-77,Front
2025-10-05 13:38:46.070631,-77,Front
2025-10-05 13:38:46.072631,-77,Front
2025-10-05 13:38:46.121631,-79,Front
2025-10-05 13:38:46.122631,-80,Front
2025-10-05 13:38:46.126631,-78,Front
2025-10-05 13:38:46.228631,-75,Front
2025-10-05 13:38:46.229631,-73,Front
2025-10-05 13:38:46.231631,-74,Front
2025-10-05 13:38:46.248631,-74,Front
2025-10-05 13:38:46.255631,-73,Front
2025-10-05 13:38:46.433631,-72,Front
2025-10-05 13:38:46.453631,-72,Front
2025-10-05 13:38:46.463631,-79,Front
2025-10-05 13:38:46.484631,-81,Front
2025-10-05 13:38:46.607631,-71,Front
2025-10-05 13:38:46.882631,-59,Middle
2025-10-05 13:38:46.903631,-62,Middle
2025-10-05 13:38:46.925631,-65,Front
2025-10-05 13:38:46.945631,-66,Front
2025-10-05 13:38:46.988631,-70,Front
2025-10-05 13:38:47.028631,-73,Front
2025-10-05 13:38:47.201631,-90,Noise
2025-10-05 13:38:47.203631,-89,Noise
2025-10-05 13:38:47.224631,-90,Noise
2025-10-05 13:38:47.242631,-72,Front
2025-10-05 13:38:47.351631,-69,Front
2025-10-05 13:38:47.372631,-67,Front
2025-10-05 13:38:47.412631,-67,Front
2025-10-05 13:38:47.506631,-74,Front
2025-10-05 13:38:47.526631,-79,Front
2025-10-05 13:38:47.546631,-78,Front
2025-10-05 13:38:51.138631,-72,Front
2025-10-05 13:38:51.149631,-74,Front
